filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
FALSE,,FALSE,,HAQSTA38,,NNH20ZDA001N-HAQ,A.38 Health and Air Quality Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-CSESP,A.41 Citizen Science for Earth Systems Program,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH21ZDA001N-AIST,A.46 Advanced Information Systems Technology,NRA,NASA:HQ:SMD:ES,2021,,,,,,,,
FALSE,,FALSE,,,,NNH21ZDA001N-SEA,A.48 Earth Science Applications: Socioeconomic Assessments,NRA,NASA:HQ:SMD:ES,2021,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-CARBON,A.5 Carbon Cycle Science,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-SAGEIII,A.50 SAGE III/ ISS Science Team,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-OCOST,A.51 Science Team for the OCO Missions,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,CMSA6,,NNH20ZDA001N-CMS,A.6 Carbon Monitoring System,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH20ZDA001N-GEDIST,A.8 Global Ecosystem Dynamics Investigation (GEDI) Science Team,NRA,NASA:HQ:SMD:ES,2020,,,,,,,,
FALSE,,FALSE,,,,NNH21ZDA001N-OSST,A.9 Ocean Salinity Science Team,NRA,NASA:HQ:SMD:ES,2021,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-ACT,Advanced Component Technology,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH08ZDA001N-AIST,Advanced Information Systems Technology,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,,,,NNH06ZDA001N-ACCESS,Advancing Collaborative Connections for Earth System Science,NRA,NASA:HQ:SMD:ES,2006,,,,,,,,
FALSE,,FALSE,,,,NNH07ZDA001N-ACCESS,Advancing Collaborative Connections for Earth System Science,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,,,,NNH08ZDA001N-ACCESS,Advancing Collaborative Connections for Earth System Science,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,,,,NNH11ZDA001N-ACCESS,Advancing Collaborative Connections for Earth System Science,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,,,,NNH13ZDA001N-ACCESS,Advancing Collaborative Connections for Earth System Science,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
