Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX10AI64G S07,WASHINGTON UNIVERSITY,HQ,CIRCUMSTELLAR AND INTERSTELLAR COMPONENTS IN PRIMITIVE EXTRATERRESTRIAL MATERIALS,COSMOCHEMISTRY (COS) PROGRAM,CHRISTINE FLOSS,JEFFREY GROSSMAN,3/14/2014,4/20/2010,4/19/2015,Work In Progress,Receiving
4200506793,NNX10AI64G S08,WASHINGTON UNIVERSITY,HQ,CIRCUMSTELLAR AND INTERSTELLAR COMPONENTS IN PRIMITIVE EXTRATERRESTRIAL MATERIALS,COSMOCHEMISTRY (COS) PROGRAM,CHRISTINE FLOSS,JEFFREY GROSSMAN,3/19/2014,4/20/2010,4/19/2015,Work In Progress,Receiving
4200522895,NNX10AI64G S09,WASHINGTON UNIVERSITY,HQ,CIRCUMSTELLAR AND INTERSTELLAR COMPONENTS IN PRIMITIVE EXTRATERRESTRIAL MATERIALS,COSMOCHEMISTRY (COS) PROGRAM,CHRISTINE FLOSS,JEFFREY GROSSMAN,8/4/2014,4/20/2010,4/19/2015,Work In Progress,Receiving
(N/A),NNX10AI67H S05,University of Alaska Fairbanks,HQ,ALASKA SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,DENISE THORSEN,LENELL ALLEN,1/31/2014,4/15/2010,4/14/2015,Work In Progress,Receiving
4200507820,NNX10AI67H S06,University of Alaska Fairbanks,HQ,ALASKA SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,DENISE THORSEN,LENELL ALLEN,3/25/2014,4/15/2010,4/14/2015,Work In Progress,Receiving
(N/A),NNX10AI68H S06,NORTH CAROLINA STATE UNIVERSITY,HQ,NORTH CAROLINA SPACE GRANT CONSORTIUM,NATIONAL SPACE GRANT COLLEGE AND FELLOWSHIP PROGRAM,CHRISTOPHER BROWN,LENELL ALLEN,12/12/2014,4/9/2010,10/8/2015,Work In Progress,Distribution
(N/A),NNX10AI70G S05,UNIVERSITY OF WISCONSIN SYSTEM,HQ,THE KINEMATICS OF THE INTERSTELLAR DISK-HALO INTERFACE OF GALAXIES,ASTROPHYSICS THEORY PROGRAM (ATP),ROBERT BENJAMIN,KEITH MACGREGOR,5/6/2014,5/20/2010,5/19/2015,Work In Progress,Receiving
(N/A),NNX10AI79G S05,UNIVERSITY OF ARIZONA,HQ,"DIFFUSION KINETIC, THERMAL HISTORY AND THERMODYNAMIC STUDIES OF PLANETARY MATERIALS AND SYSTEMS",COSMOCHEMISTRY (COS),JIBAMITRA GANGULY,JEFFREY GROSSMAN,4/11/2014,5/1/2010,4/30/2015,Awarded,Distribution
4200507892,NNX10AI91H S06,UNIVERSITY OF WISCONSIN - GREEN BAY,HQ,WISCONSIN SPACE GRANT CONSORTIUM,NASA TRAINING GRANT ANNOUNCEMENT (FY 2010),R. AILEEN YINGST,LENELL ALLEN,3/26/2014,4/23/2010,4/22/2015,Awarded,Distribution
(N/A),NNX10AI91H S07,UNIVERSITY OF WISCONSIN - GREEN BAY,HQ,WISCONSIN SPACE GRANT CONSORTIUM,NASA TRAINING GRANT ANNOUNCEMENT (FY 2010),R. AILEEN YINGST,LENELL ALLEN,7/9/2014,4/23/2010,4/22/2015,Awarded,Distribution
