Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),80NSSC18K1213  P00003,University of Arizona,HQ,ANISOTROPY AND PARTICLE INJECTION AT LOCALIZED ENHANCEMENTS OF SUPRA-THERMAL PARTICLES AT OBLIQUE COLLISIONLESS SHOCKS AT 1 AU,HELIOPHYSICS SUPPORTING RESEARCH,Federico Fraschetti,Patrick Koehn,3/9/2021,8/1/2018,7/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1213  P00004,(N/A),HQ,ANISOTROPY AND PARTICLE INJECTION AT LOCALIZED ENHANCEMENTS OF SUPRA-THERMAL PARTICLES AT OBLIQUE COLLISIONLESS SHOCKS AT 1 AU,HELIOPHYSICS SUPPORTING RESEARCH,Federico Fraschetti,Patrick Koehn,8/6/2021,8/1/2018,7/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1214 P00003,"Boston University, Trustees of",HQ,DISPERSIVE MAGNETOSONIC WAVES AND TURBULENCE IN THE HELIOSHEATH,HELIOPHYSICS SUPPORTING RESEARCH,Bertalan Zieger,Patrick Koehn,3/8/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1214 P00004,"Boston University, Trustees of",HQ,DISPERSIVE MAGNETOSONIC WAVES AND TURBULENCE IN THE HELIOSHEATH,HELIOPHYSICS SUPPORTING RESEARCH,Bertalan Zieger,Patrick Koehn,7/22/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1215 P00003,University of New Hampshire,HQ,PICKUP-ION-DRIVEN TURBULENCE AND HEATING OF THE SOLAR WIND,HELIOPHYSICS SUPPORTING RESEARCH,PHILIP ISENBERG,Patrick Koehn,3/9/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1215 P00004,University of New Hampshire,HQ,PICKUP-ION-DRIVEN TURBULENCE AND HEATING OF THE SOLAR WIND,HELIOPHYSICS SUPPORTING RESEARCH,PHILIP ISENBERG,Patrick Koehn,6/3/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1217 P00003,University of Iowa,HQ,DETERMINING PARTICLE ENERGIZATION BY THE DISSIPATION OF TURBULENCE IN HELIOSPHERIC PLASMAS,HELIOPHYSICS SUPPORTING RESEARCH,Gregory Howes,Patrick Koehn,3/8/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
4200753795,80NSSC18K1218 P00002,University of Chicago,HQ,INTERPRETING SPACECRAFT OBSERVATIONS OF ACCELERATED PARTICLES VIA AB-INITIO SIMULATIONS,HELIOPHYSICS SUPPORTING RESEARCH,DAMIANO CAPRIOLI,Patrick Koehn,3/10/2021,6/26/2018,6/25/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1218 P00003,University of Chicago,HQ,INTERPRETING SPACECRAFT OBSERVATIONS OF ACCELERATED PARTICLES VIA AB-INITIO SIMULATIONS,HELIOPHYSICS SUPPORTING RESEARCH,DAMIANO CAPRIOLI,Patrick Koehn,6/2/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1220 P00003,University of California-Los Angeles,HQ,Investigation of the Role of Force Balance in Magnetosphere-Ionosphere Coupling,HELIOPHYSICS SUPPORTING RESEARCH,Robert Strangeway,Patrick Koehn,7/7/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1221 P00006,(N/A),HQ,A SYSTEM-WIDE STUDY OF ELECTROMAGNETIC ION CYCLOTRON WAVES AND THEIR EFFECTS ON RELATIVISTIC ELECTRONS IN EARTH'S MAGNETOSPHERE,HELIOPHYSICS SUPPORTING RESEARCH,KONSTANTIN GAMAYUNOV,Patrick Koehn,8/12/2021,9/7/2018,9/6/2022,Approved/ Awarded,Distribution
4200764141,80NSSC18K1223 P00002,"UNIVERSITY OF CALIFORNIA, BERKELEY",HQ,REASSESSING PLASMA TRANSPORT IN THE EARTH'S INNER MAGNETOSPHERE,HELIOPHYSICS SUPPORTING RESEARCH,Solene Lejosne,ARIK POSNER,5/14/2021,9/1/2018,8/31/2021,Approved/ Awarded,Distribution
