Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200285602,NNX08AK96G S01,TRUSTEES BOSTON UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,PAUL WITHERS,ROBERT FOGEL,3/26/2009,4/2/2008,4/1/2011,Awarded,Distribution
4200282035,NNX08AK97G S01,PLANETARY SCIENCE INSTITUTE,HQ,YEAR 2 FUNDING,MARS DATA ANALYSIS,REBECCA WILLIAMS,ROBERT FOGEL,2/9/2009,4/2/2008,4/1/2011,Awarded,Distribution
4200293299,NNX08AK99G S01,BROWN UNIVERSITY,HQ,EVALUATION OF MAJOR SPECTRAL SURFACE TYPES ON MARS ACROSS MULTIPLE WAVELENGTHS: COMBINING THERMAL-INFRARED AND NEAR-INFRARED DATASETS TO CONSTRAIN SURFACE COMPOSITIONS,MARS DATA ANALYSIS,MICHAEL WYATT,ROBERT FOGEL,6/1/2009,4/2/2008,4/1/2011,Awarded,Distribution
4200283960,NNX08AL01G S01,SMITHSONIAN INSTITUTION,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,ROSSMAN IRWIN,ROBERT FOGEL,3/10/2009,4/2/2008,4/1/2011,Awarded,Distribution
4200299106,NNX08AL02G S01,THE WOODS HOLE RESEARCH CENTER,HQ,FUNDING ? YEAR 2 REVIEWED AND APPROVED FOR FUNDING,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,RICHARD HOUGHTON,LAWRENCE FRIEDL,6/23/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200294736,NNX08AL03G S01,DUKE UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,ATMOSPHERIC COMPOSITION: MODELING AND ANALYSIS,PRASAD KASIBHATLA,DAVID CONSIDINE,6/8/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200284416,NNX08AL04G S02,MICHIGAN STATE UNIVERSITY,HQ,FUNDING - INCREMENTAL YEAR 2 REVIEWED AND APPROVED FOR FUNDING,LAND COVER / LAND USE CHANGE,JACK LIU,GARIK GUTMAN,2/26/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200300226,NNX08AL05G S01,"UNIVERSITY OF IOWA, THE (INC)",HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,GREGORY CARMICHAEL,LAWRENCE FRIEDL,9/1/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200294284,NNX08AL06G S03,"ROFFER'S OCEAN FISHING FORECASTING SERVICE, INC",HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,MITCHELL ROFFER,WILLIAM TURNER,6/2/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200285447,NNX08AL07G S01,UNIVERSITY OF CALIFORNIA - SANTA CRUZ,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,MIKHAIL KRESLAVSKY,ROBERT FOGEL,3/12/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200298868,NNX08AL08G S01,UNIVERSITY OF ARIZONA,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,ALFRED MCEWEN,ROBERT FOGEL,6/22/2009,4/1/2008,3/31/2010,Awarded,Distribution
4200279227,NNX08AL09G S01,SETI INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,ADRIAN BROWN,ROBERT FOGEL,1/14/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200283163,NNX08AL10G S01,RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS,DEANNE ROGERS,ROBERT FOGEL,3/10/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200285603,NNX08AL11G S01,NORTHERN ARIZONA UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,NADINE BARLOW,ROBERT FOGEL,3/20/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200282330,NNX08AL12G S01,CATHOLIC UNIVERSITY OF AMERICA,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,ALEXANDER KUTEPOV,ROBERT FOGEL,3/10/2009,4/1/2008,3/31/2010,Awarded,Distribution
4200295768,NNX08AL13G S01,PLANETARY SCIENCE INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS,CATHERINE WEITZ,ROBERT FOGEL,6/4/2009,8/1/2008,7/31/2010,Awarded,Distribution
4200281305,NNX08AL14G S01,PLANETARY SCIENCE INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,CATHERINE WEITZ,ROBERT FOGEL,2/3/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200287633,NNX08AL15G S01,UNIVERSITY OF NEW MEXICO,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,STANLEY MORAIN,JOHN HAYNES,4/6/2009,3/28/2008,3/27/2011,Awarded,Distribution
4200296451,NNX08AL17G S01,WOODS HOLE RESEARCH CENTER,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,TERRESTRIAL ECOLOGY,JOSEF KELLNDORFER,DIANE WICKLAND,6/9/2009,5/1/2008,4/30/2010,Awarded,Distribution
4200296941,NNX08AL18G S01,PLANETARY SCIENCE INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,CATHERINE WEITZ,MICHAEL KELLEY,5/29/2009,8/1/2008,7/31/2011,Awarded,Distribution
4200283392,NNX08AL20G S01,UNIVERSITY OF COLORADO - BOULDER,HQ,FUNDING - INCREMENTAL,PLANETARY GEOLOGY AND GEOPHYSICS,KEIJI OHTSUKI,MICHAEL KELLEY,2/24/2009,4/2/2008,4/1/2011,Awarded,Distribution
4200307648,NNX08AL21G S01,TUFTS UNIVERSITY,MSFC,FUNDING - AUGMENTATION,MICROGRAVITY MATERIALS SCIENCE,DOUGLAS MATSON,FRANK SZOFRAN,8/14/2009,4/3/2008,4/2/2011,Awarded,Distribution
